x (cm)	y (cm)	V (volts)
0	0	30.2
0.5	0	30.4
1	0	30.2
1.5	0	30.2
2	0	30.1
2.5	0	30
3	0	30
3.5	0	30
4	0	30
4.5	0	30
5	0	30
5.5	0	30
6	0	30.1
6.5	0	30.1
7	0	30
7.5	0	30
8	0	30.1
8.5	0	30.1
9	0	30.1
9.5	0	30.2
10	0	30.4
0	0.5	29.8
0.5	0.5	29.6
1	0.5	29.5
1.5	0.5	29.5
2	0.5	29.4
2.5	0.5	29.4
3	0.5	29.4
3.5	0.5	29.4
4	0.5	29.4
4.5	0.5	29.3
5	0.5	29.3
5.5	0.5	29.3
6	0.5	29.3
6.5	0.5	29.2
7	0.5	29.2
7.5	0.5	29.3
8	0.5	29.3
8.5	0.5	29.3
9	0.5	29.3
9.5	0.5	29.3
10	0.5	29.2
0	1	28.9
0.5	1	28.8
1	1	28.7
1.5	1	28.6
2	1	28.5
2.5	1	28.5
3	1	28.5
3.5	1	28.4
4	1	28.5
4.5	1	28.4
5	1	28.4
5.5	1	28.4
6	1	28.4
6.5	1	28.4
7	1	28.3
7.5	1	28.4
8	1	28.4
8.5	1	28.9
9	1	28.6
9.5	1	28.6
10	1	28.5
0	1.5	28.4
0.5	1.5	28.2
1	1.5	28.1
1.5	1.5	27.8
2	1.5	27.9
2.5	1.5	27.8
3	1.5	27.8
3.5	1.5	27.8
4	1.5	27.8
4.5	1.5	27.7
5	1.5	27.6
5.5	1.5	27.8
6	1.5	27.7
6.5	1.5	27.8
7	1.5	27.8
7.5	1.5	27.8
8	1.5	27.9
8.5	1.5	27.7
9	1.5	27.8
9.5	1.5	27.7
10	1.5	27.7
0	2	27.4
0.5	2	27.1
1	2	27.2
1.5	2	27.2
2	2	27.2
2.5	2	27.2
3	2	27.2
3.5	2	27.2
4	2	27.2
4.5	2	27.2
5	2	27.2
5.5	2	27.3
6	2	27.3
6.5	2	27.3
7	2	27.3
7.5	2	27.4
8	2	27.3
8.5	2	27.3
9	2	27.3
9.5	2	27.4
10	2	27.3
0	2.5	26.6
0.5	2.5	26.6
1	2.5	26.6
1.5	2.5	26.6
2	2.5	26.6
2.5	2.5	26.6
3	2.5	26.6
3.5	2.5	26.6
4	2.5	26.6
4.5	2.5	26.6
5	2.5	26.6
5.5	2.5	26.7
6	2.5	26.7
6.5	2.5	26.5
7	2.5	26.6
7.5	2.5	26.6
8	2.5	26.6
8.5	2.5	26.5
9	2.5	26.6
9.5	2.5	26.6
10	2.5	26.6
0	3	27.2
0.5	3	27.1
1	3	27
1.5	3	27.1
2	3	27.1
2.5	3	26.8
3	3	26.7
3.5	3	26.7
4	3	26.8
4.5	3	26.8
5	3	26.7
5.5	3	26.7
6	3	26.8
6.5	3	26.8
7	3	26.8
7.5	3	26.9
8	3	26.8
8.5	3	26.9
9	3	26.8
9.5	3	26.8
10	3	26.8
0	3.5	25
0.5	3.5	24.7
1	3.5	24.8
1.5	3.5	24.9
2	3.5	24.9
2.5	3.5	24.9
3	3.5	24.5
3.5	3.5	24.6
4	3.5	24.6
4.5	3.5	24.5
5	3.5	24.6
5.5	3.5	24.6
6	3.5	24.7
6.5	3.5	24.7
7	3.5	24.6
7.5	3.5	24.7
8	3.5	24.5
8.5	3.5	24.7
9	3.5	24.7
9.5	3.5	24.6
10	3.5	24.7
0	4	24.7
0.5	4	24.5
1	4	24.4
1.5	4	24.4
2	4	24.5
2.5	4	24.4
3	4	24.4
3.5	4	24.4
4	4	24.5
4.5	4	24.5
5	4	24.5
5.5	4	24.5
6	4	24.6
6.5	4	24.6
7	4	24.6
7.5	4	24.6
8	4	24.6
8.5	4	24.6
9	4	24.5
9.5	4	24.6
10	4	24.6
0	4.5	23.7
0.5	4.5	23.7
1	4.5	23.6
1.5	4.5	23.4
2	4.5	23.5
2.5	4.5	23.5
3	4.5	23.4
3.5	4.5	23.5
4	4.5	23.4
4.5	4.5	23.5
5	4.5	23.5
5.5	4.5	23.4
6	4.5	23.5
6.5	4.5	23.4
7	4.5	23.4
7.5	4.5	23.4
8	4.5	23.5
8.5	4.5	23.4
9	4.5	23.5
9.5	4.5	23.4
10	4.5	23.4
0	5	22.9
0.5	5	22.6
1	5	22.5
1.5	5	22.5
2	5	22.5
2.5	5	22.5
3	5	22.5
3.5	5	22.6
4	5	22.5
4.5	5	22.5
5	5	22.6
5.5	5	22.6
6	5	22.6
6.5	5	22.5
7	5	22.6
7.5	5	22.6
8	5	22.6
8.5	5	22.6
9	5	22.5
9.5	5	22.5
10	5	22.5
0	5.5	21.6
0.5	5.5	21.7
1	5.5	21.7
1.5	5.5	21.7
2	5.5	21.8
2.5	5.5	21.9
3	5.5	21.8
3.5	5.5	21.8
4	5.5	21.8
4.5	5.5	21.8
5	5.5	21.9
5.5	5.5	21.8
6	5.5	21.9
6.5	5.5	21.9
7	5.5	21.7
7.5	5.5	21.8
8	5.5	21.7
8.5	5.5	21.8
9	5.5	21.8
9.5	5.5	21.7
10	5.5	21.7
0	6	20.9
0.5	6	20.8
1	6	20.9
1.5	6	20.9
2	6	21
2.5	6	21
3	6	21.1
3.5	6	21.1
4	6	21.1
4.5	6	21.2
5	6	21.2
5.5	6	21.2
6	6	21.2
6.5	6	21.2
7	6	21.2
7.5	6	21.1
8	6	21.1
8.5	6	21
9	6	20.9
9.5	6	20.9
10	6	20.9
0	6.5	20.1
0.5	6.5	20.1
1	6.5	20.2
1.5	6.5	20.3
2	6.5	20.1
2.5	6.5	20.1
3	6.5	20.2
3.5	6.5	20.2
4	6.5	20.3
4.5	6.5	20.3
5	6.5	20.2
5.5	6.5	20.3
6	6.5	20.2
6.5	6.5	20.4
7	6.5	20.4
7.5	6.5	20.4
8	6.5	20.4
8.5	6.5	20.5
9	6.5	20.4
9.5	6.5	20.4
10	6.5	20.3
0	7	19
0.5	7	19.1
1	7	19.1
1.5	7	19.2
2	7	19.2
2.5	7	19.3
3	7	19.4
3.5	7	19.5
4	7	19.5
4.5	7	19.5
5	7	19.6
5.5	7	19.5
6	7	19.6
6.5	7	19.7
7	7	19.6
7.5	7	19.6
8	7	19.5
8.5	7	19.7
9	7	19.6
9.5	7	19.6
10	7	19.5
0	7.5	18.2
0.5	7.5	18.2
1	7.5	18.3
1.5	7.5	18.4
2	7.5	18.5
2.5	7.5	18.6
3	7.5	18.7
3.5	7.5	18.8
4	7.5	18.6
4.5	7.5	18.7
5	7.5	18.8
5.5	7.5	18.9
6	7.5	18.8
6.5	7.5	18.9
7	7.5	18.9
7.5	7.5	18.9
8	7.5	18.8
8.5	7.5	18.9
9	7.5	18.8
9.5	7.5	18.8
10	7.5	18.7
0	8	16
0.5	8	16.1
1	8	16.3
1.5	8	16.4
2	8	16.5
2.5	8	16.6
3	8	16.7
3.5	8	16.8
4	8	16.9
4.5	8	16.9
5	8	17
5.5	8	17
6	8	17
6.5	8	17.1
7	8	17.1
7.5	8	17.1
8	8	16.8
8.5	8	16.9
9	8	16.9
9.5	8	16.9
10	8	16.9
0	8.5	15.3
0.5	8.5	15.4
1	8.5	15.7
1.5	8.5	15.8
2	8.5	16
2.5	8.5	16.2
3	8.5	16.3
3.5	8.5	16.3
4	8.5	16.4
4.5	8.5	16.4
5	8.5	16.5
5.5	8.5	16.6
6	8.5	16.6
6.5	8.5	16.6
7	8.5	16.5
7.5	8.5	16.5
8	8.5	16.5
8.5	8.5	16.5
9	8.5	16.4
9.5	8.5	16.3
10	8.5	16.1
0	9	14.4
0.5	9	14.7
1	9	14.9
1.5	9	15.1
2	9	15.2
2.5	9	15.3
3	9	15.4
3.5	9	15.5
4	9	15.4
4.5	9	15.6
5	9	15.8
5.5	9	15.8
6	9	15.7
6.5	9	15.6
7	9	15.8
7.5	9	15.7
8	9	15.9
8.5	9	15.8
9	9	15.7
9.5	9	15.7
10	9	15.5
0	9.5	13.7
0.5	9.5	14
1	9.5	14.3
1.5	9.5	14.4
2	9.5	14.5
2.5	9.5	14.7
3	9.5	14.8
3.5	9.5	15
4	9.5	15.1
4.5	9.5	15.2
5	9.5	15.3
5.5	9.5	15.2
6	9.5	15.1
6.5	9.5	15.2
7	9.5	15.1
7.5	9.5	15.1
8	9.5	15
8.5	9.5	14.9
9	9.5	15
9.5	9.5	15
10	9.5	14.9
